Continent,Country,Region,CityName
Africa,Cameroon,Central Africa,Douala
Africa,Cameroon,Central Africa,South Region
Africa,Chad,Central Africa,N'Djamena
Africa,Rwanda,Central Africa,Kigali
Africa,Rwanda,Central Africa,Kigali Province
Africa,Ethiopia,East Africa,Addis Ababa
Africa,Kenya,East Africa,Karen
Africa,Kenya,East Africa,Kenya
Africa,Kenya,East Africa,Malindi
Africa,Kenya,East Africa,Mombasa
Africa,Kenya,East Africa,Nairobi
Africa,Kenya,East Africa,Shimoni
Africa,Mauritius,East Africa,Bel Ombre
Africa,Mauritius,East Africa,Curepipe
Africa,Mauritius,East Africa,Flic En Flac
Africa,Mauritius,East Africa,Grand Baie
Africa,Mauritius,East Africa,Grand Gaube
Africa,Mauritius,East Africa,Mauritius
Africa,Mauritius,East Africa,Moka
Africa,Mauritius,East Africa,Pailles
Africa,Mauritius,East Africa,Port Louis
Africa,Mauritius,East Africa,Quatre Bornes
Africa,Mauritius,East Africa,Rose Belle
Africa,Seychelles,East Africa,Cerf Island
Africa,Seychelles,East Africa,Mahe Island
Africa,Seychelles,East Africa,Victoria
Africa,Sudan,East Africa,Khartoum
Africa,Sudan,East Africa,Port Sudan
Africa,Sudan,East Africa,Rumbek
Africa,Sudan,East Africa,Sudan
Africa,Tanzania,East Africa,Arusha
Africa,Tanzania,East Africa,Dar es Salaam
Africa,Tanzania,East Africa,Msasani
Africa,Tanzania,East Africa,Stone Town
Africa,Tanzania,East Africa,Tanzania
Africa,Tanzania,East Africa,Zanzibar Island
Africa,Uganda,East Africa,Kampala
Africa,Zambia,East Africa,Livingstone
Africa,Zambia,East Africa,Lusaka
Africa,Zambia,East Africa,Solwezi
Africa,Zambia,East Africa,South Luangwa National Park
Africa,Zambia,East Africa,Victoria Falls
Africa,Zimbabwe,East Africa,Harare
Africa,Algeria,North Africa,Alger
Africa,Algeria,North Africa,Algiers
Africa,Algeria,North Africa,Blida Province
Africa,Algeria,North Africa,Oran
Africa,Egypt,North Africa,Ad Duqqi
Africa,Egypt,North Africa,Al Rehab
Africa,Egypt,North Africa,Alexandria
Africa,Egypt,North Africa,Alexandria Governorate
Africa,Egypt,North Africa,Cairo
Africa,Egypt,North Africa,Cairo Governorate
Africa,Egypt,North Africa,Dahab
Africa,Egypt,North Africa,Egypt
Africa,Egypt,North Africa,El Alamein
Africa,Egypt,North Africa,Giza
Africa,Egypt,North Africa,Hurghada
Africa,Egypt,North Africa,Luxor
Africa,Egypt,North Africa,Mansoura
Africa,Egypt,North Africa,New Cairo City
Africa,Egypt,North Africa,Sharm El Sheikh
Africa,Egypt,North Africa,Siwa
Africa,Egypt,North Africa,South Sinai
Africa,Egypt,North Africa,Tanta
Africa,Morocco,North Africa,Casablanca
Africa,Morocco,North Africa,Chefchaouen
Africa,Morocco,North Africa,El Jadida
Africa,Morocco,North Africa,Fes
Africa,Morocco,North Africa,Marrakech
Africa,Morocco,North Africa,Merzouga
Africa,Morocco,North Africa,Ouarzazate
Africa,Morocco,North Africa,Oujda
Africa,Morocco,North Africa,Rabat
Africa,Tunisia,North Africa,Bizerte
Africa,Tunisia,North Africa,Carthage
Africa,Tunisia,North Africa,Ezzahra
Africa,Tunisia,North Africa,Sidi Bou Said
Africa,Tunisia,North Africa,Sousse
Africa,Tunisia,North Africa,Tunis
Africa,Tunisia,North Africa,tunisie
Africa,Angola,Southern Africa,Luanda
Africa,Botswana,Southern Africa,Botswana
Africa,Botswana,Southern Africa,Gaborone
Africa,Malawi,Southern Africa,Chintheche
Africa,Mozambique,Southern Africa,Maputo
Africa,Mozambique,Southern Africa,Mozambique
Africa,Mozambique,Southern Africa,Ponta do Ouro
Africa,Mozambique,Southern Africa,Tofinho
Africa,Namibia,Southern Africa,Swakopmund
Africa,Namibia,Southern Africa,Walvis Bay
Africa,Namibia,Southern Africa,Windhoek
Africa,South Africa,Southern Africa,Alberton
Africa,South Africa,Southern Africa,Ballito
Africa,South Africa,Southern Africa,Barrydale
Africa,South Africa,Southern Africa,Bedfordview
Africa,South Africa,Southern Africa,Benoni
Africa,South Africa,Southern Africa,Bergville
Africa,South Africa,Southern Africa,Bloemfontein
Africa,South Africa,Southern Africa,Bloubergstrand
Africa,South Africa,Southern Africa,Bluff
Africa,South Africa,Southern Africa,Boksburg
Africa,South Africa,Southern Africa,Brackenfell
